region,technology,capacity.factor
Brazil,gas (CC),0.85
Brazil,gas (CC CCS),0.8
Brazil,refined liquids (steam/CT),0.8
Brazil,refined liquids (CC),0.85
Brazil,refined liquids (CC CCS),0.8
Brazil,biomass (conv),0.85
Brazil,biomass (conv CCS),0.8
Brazil,biomass (IGCC),0.8
Brazil,biomass (IGCC CCS),0.8
Brazil,Gen_II_LWR,0.9
Brazil,Gen_III,0.9
Brazil,geothermal,0.9
Canada,wind,0.39
Canada,wind_storage,0.39
Canada,rooftop_pv,0.129780734
Canada,CSP,0.348881694
Canada,CSP_storage,0.85
Canada,PV,0.129780734
Canada,PV_storage,0.129780734
Canada,coal (conv pul),0.85
Canada,coal (conv pul CCS),0.8
Canada,coal (IGCC),0.8
Canada,coal (IGCC CCS),0.8
Canada,gas (steam/CT),0.8
Canada,gas (CC),0.85
Canada,gas (CC CCS),0.8
Canada,refined liquids (steam/CT),0.8
Canada,refined liquids (CC),0.85
Canada,refined liquids (CC CCS),0.8
Canada,biomass (conv),0.85
Canada,biomass (conv CCS),0.8
Canada,biomass (IGCC),0.8
Canada,biomass (IGCC CCS),0.8
Canada,Gen_II_LWR,0.9
Canada,Gen_III,0.9
Canada,geothermal,0.9
Central America and Caribbean,wind,0.38
Central America and Caribbean,wind_storage,0.38
Central America and Caribbean,rooftop_pv,0.251481965
Central America and Caribbean,CSP,0.27396028100000003
Central America and Caribbean,CSP_storage,0.712296732
Central America and Caribbean,PV,0.251481965
Central America and Caribbean,PV_storage,0.251481965
Central America and Caribbean,coal (conv pul),0.85
Central America and Caribbean,coal (conv pul CCS),0.8
Central America and Caribbean,coal (IGCC),0.8
Central America and Caribbean,coal (IGCC CCS),0.8
Central America and Caribbean,gas (steam/CT),0.8
Central America and Caribbean,gas (CC),0.85
Central America and Caribbean,gas (CC CCS),0.8
Central America and Caribbean,refined liquids (steam/CT),0.8
Central America and Caribbean,refined liquids (CC),0.85
Central America and Caribbean,refined liquids (CC CCS),0.8
Central America and Caribbean,biomass (conv),0.85
Central America and Caribbean,biomass (conv CCS),0.8
Central America and Caribbean,biomass (IGCC),0.8
Central America and Caribbean,biomass (IGCC CCS),0.8
Central America and Caribbean,Gen_II_LWR,0.9
Central America and Caribbean,Gen_III,0.9
Central America and Caribbean,geothermal,0.9
Central Asia,wind,0.36
Central Asia,wind_storage,0.36
Central Asia,rooftop_pv,0.214675695
Central Asia,CSP,0.284730779
Central Asia,CSP_storage,0.740300026
Central Asia,PV,0.214675695
Central Asia,PV_storage,0.214675695
Central Asia,coal (conv pul),0.85
Central Asia,coal (conv pul CCS),0.8
Central Asia,coal (IGCC),0.8
Central Asia,coal (IGCC CCS),0.8
Central Asia,gas (steam/CT),0.8
Central Asia,gas (CC),0.85
Central Asia,gas (CC CCS),0.8
Central Asia,refined liquids (steam/CT),0.8
Central Asia,refined liquids (CC),0.85
Central Asia,refined liquids (CC CCS),0.8
Central Asia,biomass (conv),0.85
Central Asia,biomass (conv CCS),0.8
Central Asia,biomass (IGCC),0.8
Central Asia,biomass (IGCC CCS),0.8
Central Asia,Gen_II_LWR,0.9
Central Asia,Gen_III,0.9
Central Asia,geothermal,0.9
China,wind,0.39
China,wind_storage,0.39
China,rooftop_pv,0.239884951
China,CSP,0.253152141
China,CSP_storage,0.658195566
China,PV,0.239884951
China,PV_storage,0.239884951
China,coal (conv pul),0.85
China,coal (conv pul CCS),0.8
China,coal (IGCC),0.8
China,coal (IGCC CCS),0.8
China,gas (steam/CT),0.8
China,gas (CC),0.85
China,gas (CC CCS),0.8
China,refined liquids (steam/CT),0.8
China,refined liquids (CC),0.85
China,refined liquids (CC CCS),0.8
China,biomass (conv),0.85
China,biomass (conv CCS),0.8
China,biomass (IGCC),0.8
China,biomass (IGCC CCS),0.8
China,Gen_II_LWR,0.9
China,Gen_III,0.9
China,geothermal,0.9
Colombia,wind,0.33
Colombia,wind_storage,0.33
Colombia,rooftop_pv,0.218840056
Colombia,CSP,0.32406261200000003
Colombia,CSP_storage,0.842562791
Colombia,PV,0.218840056
Colombia,PV_storage,0.218840056
Colombia,coal (conv pul),0.85
Colombia,coal (conv pul CCS),0.8
Colombia,coal (IGCC),0.8
Colombia,coal (IGCC CCS),0.8
Colombia,gas (steam/CT),0.8
Colombia,gas (CC),0.85
Colombia,gas (CC CCS),0.8
Colombia,refined liquids (steam/CT),0.8
Colombia,refined liquids (CC),0.85
Colombia,refined liquids (CC CCS),0.8
Colombia,biomass (conv),0.85
Colombia,biomass (conv CCS),0.8
Colombia,biomass (IGCC),0.8
Colombia,biomass (IGCC CCS),0.8
Colombia,Gen_II_LWR,0.9
Colombia,Gen_III,0.9
Colombia,geothermal,0.9
EU-12,wind,0.37
EU-12,wind_storage,0.37
EU-12,rooftop_pv,0.165519569
EU-12,CSP,0.25220069
EU-12,CSP_storage,0.655721795
EU-12,PV,0.165519569
EU-12,PV_storage,0.165519569
EU-12,coal (conv pul),0.85
EU-12,coal (conv pul CCS),0.8
EU-12,coal (IGCC),0.8
EU-12,coal (IGCC CCS),0.8
EU-12,gas (steam/CT),0.8
EU-12,gas (CC),0.85
EU-12,gas (CC CCS),0.8
EU-12,refined liquids (steam/CT),0.8
EU-12,refined liquids (CC),0.85
EU-12,refined liquids (CC CCS),0.8
EU-12,biomass (conv),0.85
EU-12,biomass (conv CCS),0.8
EU-12,biomass (IGCC),0.8
EU-12,biomass (IGCC CCS),0.8
EU-12,Gen_II_LWR,0.9
EU-12,Gen_III,0.9
EU-12,geothermal,0.9
EU-15,wind,0.39
EU-15,wind_storage,0.39
EU-15,rooftop_pv,0.1831046
EU-15,CSP,0.270318475
EU-15,CSP_storage,0.702828034
EU-15,PV,0.1831046
EU-15,PV_storage,0.1831046
EU-15,coal (conv pul),0.85
EU-15,coal (conv pul CCS),0.8
EU-15,coal (IGCC),0.8
EU-15,coal (IGCC CCS),0.8
EU-15,gas (steam/CT),0.8
EU-15,gas (CC),0.85
EU-15,gas (CC CCS),0.8
EU-15,refined liquids (steam/CT),0.8
EU-15,refined liquids (CC),0.85
EU-15,refined liquids (CC CCS),0.8
EU-15,biomass (conv),0.85
EU-15,biomass (conv CCS),0.8
EU-15,biomass (IGCC),0.8
EU-15,biomass (IGCC CCS),0.8
EU-15,Gen_II_LWR,0.9
EU-15,Gen_III,0.9
EU-15,geothermal,0.9
Europe_Eastern,wind,0.34
Europe_Eastern,wind_storage,0.34
Europe_Eastern,rooftop_pv,0.162879869
Europe_Eastern,CSP,0.330465573
Europe_Eastern,CSP_storage,0.85
Europe_Eastern,PV,0.162879869
Europe_Eastern,PV_storage,0.162879869
Europe_Eastern,coal (conv pul),0.85
Europe_Eastern,coal (conv pul CCS),0.8
Europe_Eastern,coal (IGCC),0.8
Europe_Eastern,coal (IGCC CCS),0.8
Europe_Eastern,gas (steam/CT),0.8
Europe_Eastern,gas (CC),0.85
Europe_Eastern,gas (CC CCS),0.8
Europe_Eastern,refined liquids (steam/CT),0.8
Europe_Eastern,refined liquids (CC),0.85
Europe_Eastern,refined liquids (CC CCS),0.8
Europe_Eastern,biomass (conv),0.85
Europe_Eastern,biomass (conv CCS),0.8
Europe_Eastern,biomass (IGCC),0.8
Europe_Eastern,biomass (IGCC CCS),0.8
Europe_Eastern,Gen_II_LWR,0.9
Europe_Eastern,Gen_III,0.9
